f_0,fr_0,f_1,fr_1,f_2,fr_2,f_3,fr_3,f_4,fr_4,f_5,fr_5,f_6,fr_6,f_7,fr_7,f_8,fr_8,f_9,fr_9,f_10,fr_10,f_11,fr_11,f_12,fr_12,f_13,fr_13,f_14,fr_14,f_15,fr_15,f_16,fr_16,f_17,fr_17,f_18,fr_18,f_19,fr_19,f_20,fr_20,f_21,fr_21,f_22,fr_22
274.0040276610851,21471.411352848743,262.3272459694743,9393.910440019645,256.70359748959544,7364.929356580885,254.89543108403683,13355.95012143317,265.25889018535617,14567.004298335238,256.19056740462776,12557.10349003931,256.82285448968406,13876.432710678315,256.35914673641327,13014.236383762694,262.0827644683514,13592.606362553923,258.0154799291492,5620.246588069877,255.38643743380902,13861.658717695902,283.8090758377313,20101.915257974684,271.5975227409601,15474.751592512057,254.60149969741704,14675.599379223533,255.8884903243184,11900.606377594742,276.845572527647,16105.455782206673,270.59200112760067,11395.945235383566,254.546719647795,18381.32207507941,270.5225534433127,24363.913143911737,256.78723279923196,12604.348182475314,249.5949820099771,16843.456544592365,254.4038977248967,11139.247688142143,276.32809590339656,12550.008373294542
258.8518502211571,23397.999587605525,256.49249383717773,10607.187339832446,257.0186977067589,8634.1666843077,260.75096567511554,15663.975575208982,266.8435035073757,17944.545349922977,252.9753695598245,13568.092218810578,251.9504596544802,14227.03575638809,251.52864480939692,13129.412774020218,255.87061343848706,14697.313932571795,255.0878578698635,6685.677784112099,253.6437665744126,14959.553099042225,266.0051616662741,23798.66033285685,256.1895939579606,16643.096540731567,269.68797815978525,18538.449225026252,255.75428190365432,13200.045809885996,267.8003246092796,19997.83731709914,256.270159689188,12352.490482674042,254.48890414223075,19445.592065235618,271.53298426955934,28378.63893195939,279.5260982745886,18520.55322527528,254.0980487680435,17837.909716297294,254.4512510514259,12359.817855138825,258.46360052168365,14015.801738780383
264.0792252370715,27038.550336884502,267.4035960042476,14243.757282277153,269.08274069368844,12408.02317329787,247.82436301106588,15395.894567741738,254.19455400094392,18894.40099086397,252.87280812099578,14494.932540468,280.76992604076867,19753.007509012845,251.87699106767772,13331.622031587702,254.48112469822166,15799.310345405293,253.36572317838667,7631.6897334900805,259.5844094896317,17017.595908293093,255.17386989496646,24858.528229366704,252.9969505107403,17518.737494263485,257.4521453349292,19706.586450866085,257.10897823959584,14444.72457104424,270.256448032856,23883.36507890939,256.391123650074,13539.431131048705,268.8244141513109,23051.317138187645,282.5705119957775,34279.10953126451,255.31991405650973,19523.66807424423,287.6120110803842,25188.99398578781,257.19102980285885,13588.495547434073,259.72732151538133,15702.453745215631
264.5786495262384,29922.20833049282,268.3024491497874,17836.069002141267,254.2071246100962,13425.45417719166,260.10185853779313,17132.121221048423,256.77475121557717,20111.78957013314,255.28323642894628,15529.832371470044,237.16608729451895,16972.32570880868,252.72817007511853,14266.830990643595,251.53210207760335,15927.536853029149,256.0506223013997,8787.23968690211,251.9453315155208,17846.254628857518,255.56336334779857,25978.231929269725,253.4800862914324,18488.986281905436,257.88048082947734,20916.738450800192,256.84357830226423,15387.985004703673,255.5929247072339,24968.613120044552,257.84040457993746,15104.36866485556,256.6059793418646,24353.20287583924,247.8175340426713,33678.85310593594,255.7757303906977,20196.87047502925,259.44492534458635,26700.20105689802,253.82993200853466,14529.356811142592,261.5460320913791,17843.103546785176
258.76757841467855,31696.34782246558,254.65999412670732,18764.2462241369,253.37971179544928,14402.163427639956,257.1576583439111,18768.9549516275,256.3028756162524,21326.88691876398,253.58762282267213,16336.029157785932,260.2808133268356,19017.956483115613,254.46475683137777,15237.810287997512,270.41730684280395,20404.587602252046,254.14170459866526,9725.98989506017,285.269464738071,25076.22595751239,240.36351608127353,24130.81650011946,254.43502781078217,19469.19885876175,255.86338108539582,22211.310501927615,253.8779826132953,16426.76672491745,255.4748097753525,26150.4913248629,254.33330243140458,16122.652630432445,256.9658895781636,25506.628294851882,251.03840339804066,33526.69395964151,253.79413141518833,21289.929885522044,252.9161282120645,27530.393478770307,253.58113297760488,15505.293267786232,238.23147801399233,14871.191522269215
255.5887552528083,32886.3183602093,257.745476911813,19933.043466175903,260.16755321383476,16362.141744734075,271.4269361013174,23074.46938412397,253.66060658603905,22198.588561838413,253.62322430819273,17314.742920049266,254.62484213769434,19982.584049105866,254.29485260084272,16207.19842444099,242.1373904579878,18814.126069245543,248.2214623392187,9596.703756459123,254.84346890360115,26103.7783816336,248.26266869843005,23526.11089042772,253.52136373728516,20331.00793654111,245.16343866162003,21673.956905211773,253.55541234150527,17353.98864496879,257.5435463325679,27457.124534376435,256.12776375472544,17214.012207237574,257.37544209681454,26512.58496368488,258.4838329637051,34886.135979575345,254.79843291550873,22386.748918921683,254.75002287864683,28358.358996697316,253.6527111521363,16321.768126660329,250.8563714107871,15379.85805714365
254.71553266361357,33901.04915577601,254.21687365159394,20898.820351028782,274.66700795650485,20900.865509988143,263.3060123494268,25397.66976830289,262.6392745146156,24666.127743351608,254.51874423488977,18002.04375171026,255.53729052856562,20829.441745272576,253.80250754639505,17072.610994268493,253.361565323025,19521.23874834552,252.77686535991728,10077.018130401306,254.28919159233573,27077.127540061374,274.8586057493091,28308.69375669601,269.2385534518957,23868.35066613223,235.1288324096799,18529.577013909948,253.9600111028552,18307.570551350953,256.2164568954706,28380.905080870336,268.14661071985955,20780.376463070766,244.22703329637648,25413.960853161014,256.8876184312999,35884.53243718623,242.9572686710954,20668.755464076312,257.8403575262427,29475.463608418333,248.93506185986104,15793.204912110652,265.7856217497587,18062.07831132917
252.89022099642085,34069.36445921748,254.0434334939718,21893.247873964425,285.23462380260224,27740.56175086594,257.49254350602627,26878.006113504565,253.81342559516432,25656.225046760894,253.27397749334574,19032.243566348763,254.94348362296822,22016.53385982449,260.2715663486719,18918.7822890973,275.300800358653,24669.64418857616,253.5898441819847,11246.993835280082,257.2072539290786,28575.236531295206,273.87298100650315,33325.125379513505,251.34085849955676,24355.898695452208,253.74386871069672,19622.248221288657,257.62053438633683,19589.757787555693,257.53813852876425,29836.741181700083,253.5711509472132,21639.73910238283,259.0859950447082,27247.001405452684,257.9601690629125,37447.01105918293,256.7996065220237,21861.475431619983,258.98765944898133,31364.846546517565,250.7142579283938,15650.388470321328,259.2309176838398,19605.727680026648
253.19117956072094,34879.71710092754,257.3461617192626,23152.9774333585,266.79224255919456,30935.378717489057,245.43491844296454,25684.786399208202,270.1001654648781,29331.03979716521,271.21547804415223,23434.148389066617,254.30237933391703,22671.950770241554,228.1618486249447,14822.775459137829,253.07914750635626,25698.856316017806,265.30924202144143,14212.787557989239,244.24494752526283,27582.653214262795,253.90288643226026,34472.08548256014,261.17265395283704,26625.358590005202,248.3498129585385,18977.256219154893,285.23947774708273,26414.907222255737,255.61428503304722,31079.067080058474,235.34016432106495,18433.777360801378,236.64926793783906,24650.575830982147,243.85786120235917,35967.876870202825,236.79525709211828,19207.986560768422,245.54117869675162,30372.16072257183,236.0812776902318,12994.259850639502,257.69061824738975,20820.7831842092
262.32694324195387,37410.003952028244,255.80528366178277,24271.3662467273,263.8682695710659,33438.7459422103,228.60605954170228,21469.924448933416,258.8871874713897,30939.62300758464,262.4145224058628,25984.0922229555,255.49503798097368,23889.89386711048,247.49508257120846,14006.568289218389,256.7795191308856,26855.29765510872,261.3672194582969,16173.13557542438,264.33949268400664,30158.639694357305,257.1416610428691,35996.4572812203,262.71718088477854,29447.78191567074,259.8652915486693,20989.057769888295,254.9690695232153,27725.472772895875,239.40803851723672,28821.907061912385,254.36972762554882,19460.859644494285,254.08708387598398,25580.733162693472,219.96002619802954,29851.777426664696,293.36189720422027,27719.399259128117,277.5036199086905,36073.20943199877,249.5638314449787,12842.492461416761,244.66205739971252,19550.67067230201
